Deck_Name,Archetype_URL
Simic Ouroboroid,https://www.mtggoldfish.com/archetype/standard-simic-ouroboroid-woe#paper
Izzet Lessons,https://www.mtggoldfish.com/archetype/standard-izzet-lessons-woe#paper
Dimir Midrange,https://www.mtggoldfish.com/archetype/standard-dimir-midrange-woe#paper
Jeskai Control,https://www.mtggoldfish.com/archetype/standard-jeskai-control-woe#paper
Selesnya Landfall,https://www.mtggoldfish.com/archetype/standard-selesnya-landfall-woe#paper
Mono-Red Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-aggro-woe#paper
Boros Aggro,https://www.mtggoldfish.com/archetype/standard-boros-aggro-woe#paper
4c Reanimator,https://www.mtggoldfish.com/archetype/standard-4c-reanimator-woe#paper
Izzet Looting,https://www.mtggoldfish.com/archetype/standard-izzet-looting-woe#paper
Mono-Green Landfall,https://www.mtggoldfish.com/archetype/standard-mono-green-landfall-woe#paper
Temur Lessons,https://www.mtggoldfish.com/archetype/standard-temur-lessons-woe#paper
Izzet Prowess,https://www.mtggoldfish.com/archetype/standard-izzet-prowess-woe#paper
Temur Ouroboroid,https://www.mtggoldfish.com/archetype/standard-temur-ouroboroid-woe#paper
Bant Airbending Combo,https://www.mtggoldfish.com/archetype/standard-bant-airbending-combo-woe#paper
Azorius Control,https://www.mtggoldfish.com/archetype/standard-azorius-control-woe#paper
Allies,https://www.mtggoldfish.com/archetype/standard-allies-woe#paper
Golgari Ouroboroid,https://www.mtggoldfish.com/archetype/standard-golgari-ouroboroid-woe#paper
Jeskai Artifacts,https://www.mtggoldfish.com/archetype/standard-jeskai-artifacts-woe#paper
Sultai Reanimator,https://www.mtggoldfish.com/archetype/standard-sultai-reanimator-woe#paper
Golgari Midrange,https://www.mtggoldfish.com/archetype/standard-golgari-midrange-woe#paper
Esper Self-Bounce,https://www.mtggoldfish.com/archetype/standard-esper-self-bounce-woe#paper
Boros Dragons,https://www.mtggoldfish.com/archetype/standard-boros-dragons-woe#paper
4c Control,https://www.mtggoldfish.com/archetype/standard-4c-control-woe#paper
Temur Kona,https://www.mtggoldfish.com/archetype/standard-temur-kona-woe#paper
Bant Omniscience,https://www.mtggoldfish.com/archetype/standard-bant-omniscience-woe#paper
Orzhov Midrange,https://www.mtggoldfish.com/archetype/standard-orzhov-midrange-woe#paper
Boros Burn,https://www.mtggoldfish.com/archetype/standard-boros-burn-woe#paper
Simic Landfall,https://www.mtggoldfish.com/archetype/standard-simic-landfall-woe#paper
Abzan Ouroboroid,https://www.mtggoldfish.com/archetype/standard-abzan-ouroboroid-woe#paper
Temur Floodcaller Combo,https://www.mtggoldfish.com/archetype/standard-temur-floodcaller-combo-woe#paper
Izzet Midrange,https://www.mtggoldfish.com/archetype/standard-izzet-midrange-woe#paper
5c Control,https://www.mtggoldfish.com/archetype/standard-5c-control-woe#paper
Lifegain,https://www.mtggoldfish.com/archetype/standard-lifegain-woe#paper
Dimir Self-Bounce,https://www.mtggoldfish.com/archetype/standard-dimir-self-bounce-woe#paper
Naya Yuna,https://www.mtggoldfish.com/archetype/standard-naya-yuna-woe#paper
Orzhov Self-Bounce,https://www.mtggoldfish.com/archetype/standard-orzhov-self-bounce-woe#paper
Esper Control,https://www.mtggoldfish.com/archetype/standard-esper-control-woe#paper
Boros Manufacturing,https://www.mtggoldfish.com/archetype/standard-boros-manufacturing-woe#paper
Mono-Black Midrange,https://www.mtggoldfish.com/archetype/standard-mono-black-midrange-woe#paper
Golgari Landfall,https://www.mtggoldfish.com/archetype/standard-golgari-landfall-woe#paper
Sultai Ouroboroid,https://www.mtggoldfish.com/archetype/standard-sultai-ouroboroid-woe#paper
Simic Aggro,https://www.mtggoldfish.com/archetype/standard-simic-aggro-woe#paper
Mono-Green Aggro,https://www.mtggoldfish.com/archetype/standard-mono-green-aggro-woe#paper
Mono-Red Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-mono-red-leyline-aggro-woe#paper
Mardu Control,https://www.mtggoldfish.com/archetype/standard-mardu-control-woe#paper
Izzet Aggro,https://www.mtggoldfish.com/archetype/standard-izzet-aggro-woe#paper
Mono-White Token Control,https://www.mtggoldfish.com/archetype/standard-mono-white-token-control-woe#paper
Gruul Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-gruul-leyline-aggro-woe#paper
Selesnya Cage,https://www.mtggoldfish.com/archetype/standard-selesnya-cage-woe#paper
4c Artifacts,https://www.mtggoldfish.com/archetype/standard-4c-artifacts-woe#paper
Golgari Dragons,https://www.mtggoldfish.com/archetype/standard-golgari-dragons-woe#paper
Simic Omniscience,https://www.mtggoldfish.com/archetype/standard-simic-omniscience-woe#paper
Golgari Insidious Roots,https://www.mtggoldfish.com/archetype/standard-golgari-insidious-roots-woe#paper
Gruul Delirium,https://www.mtggoldfish.com/archetype/standard-gruul-delirium-woe#paper
Boros Mice,https://www.mtggoldfish.com/archetype/standard-boros-mice-woe#paper
Boros Leyline Aggro,https://www.mtggoldfish.com/archetype/standard-boros-leyline-aggro-woe#paper
Dimir Control,https://www.mtggoldfish.com/archetype/standard-dimir-control-woe#paper
Orzhov Aristocrats,https://www.mtggoldfish.com/archetype/standard-orzhov-aristocrats-woe#paper
Esper Midrange,https://www.mtggoldfish.com/archetype/standard-esper-midrange-woe#paper
