,Archetype_Name,Meta_Share
0,Izzet Prowess,16.70%
1,Mono-Green Landfall,16.30%
2,Izzet Lessons,9.70%
3,Izzet Spellementals,9.50%
4,Dimir Excrutiator,9.20%
5,Izzet Self-Bounce,5.20%
6,Selesnya Ouroboroid,4.60%
7,5c Elementals,3.00%
8,Dimir Midrange,2.70%
9,Bant Ouroboroid,2.30%
10,Azorius Momo,2.20%
11,Mono-Red Aggro,1.70%
12,4c Ouroboroid,1.70%
13,Mono-White Momo,1.40%
14,Jeskai Control,1.20%
15,Temur Kona,1.10%
16,Boros Dragons,1.00%
17,Azorius Tempo,0.70%
18,4c Kona,0.70%
19,Sultai Reanimator,0.70%
