Deck_Name,Archetype_Name,Meta_Share
Izzet Cauldron,Izzet,22.70%
Dimir Midrange,Dimir,15.53%
Mono-Red Aggro,Mono-Red,5.61%
Azorius Control,Azorius,5.46%
Rogue,Rogue,3.93%
Esper Pixie,Esper,2.48%
Gruul Delirium,Gruul,2.25%
Golgari Midrange,Golgari,2.12%
Mono Red Dragons,Mono,2.07%
Gruul Aggro,Gruul,1.79%
Golgari Roots,Golgari,1.74%
Mono Black Demons,Mono,1.60%
Mono Green Landfall,Mono,1.60%
Mono White Tokens,Mono,1.54%
Naya Yuna,Naya,1.38%
Jeskai Control,Jeskai,1.36%
Temur Battlecrier,Temur,1.28%
Boros Burn,Boros,1.23%
Orzhov Sacrifice,Orzhov,1.20%
Simic Aggro,Simic,1.06%
